,category,title,instructor,price,numoflectures,rating,reviews
23, ,[할인] POWER BI로 배우는 데이터 시각화,투마일러(2miler),"월 32,442원(5개월)",강의수미정,5.0,"['파워BI를 배우고 싶었는데 기초부터 배울만한 곳이 마땅치 않았었는데 처음부터 차례차례 배우기 괜찮습니다 심화단계까지는 아니더라도 대략적으로 파워BI가 어떤 것인지 이해하고 어떻게 활용을 해야 하는지 감을 잡기에 좋습니다', '모르는분야에 대해 알수있었던 좋은 수업이였습니다. 감사합니다', '어려운 프로그램 잘 익혔습니다\n실제로 잘 활용하면 좋겟습니다', '처음부터 꼼꼼하게 잘 설명해주셔서 따라가기 좋아요~  ']"
24, ,[취업 연계] 커리어 코스 - 한큐 프로의 JAVA 웹 개발자 양성 과정,한큐,"월 185,000원(12개월)",강의수미정,0.0,[]
25, ,[할인] 마케터를 위한 데이터 사이언스 입문,박경아,"월 21,800원(5개월)",강의수미정,0.0,[]
26,AI · 머신러닝 · 코코,PyTorch로 쉽게 배우는 딥러닝 입문 클래스,코코,"월 17,800원(5개월)","9개 챕터, 67개 세부강의",0.0,[]
27,AI · 머신러닝 · 데이터 스테이션,기업 프로젝트로 배우는 파이썬 머신러닝과 실무 적용,데이터 스테이션,"월 32,600원(5개월)","9개 챕터, 38개 세부강의",0.0,[]
28,AI · 머신러닝 · AI코딩-두두등장,[할인] 세상에서 가장 빠르게 AI 개발자 되기 + 세상에서 가장 쉽게 AI 서비스 런칭하기,AI코딩-두두등장,"월 45,800원(5개월)","18개 챕터, 80개 세부강의",0.0,[]
29,프로그래밍 언어 · 세상의모든코딩,C#으로 시작하는 프로그래밍 입문 & 프로그램 만들기,세상의모든코딩,"월 21,800원(5개월)","9개 챕터, 38개 세부강의",0.0,[]
30,더 새로운 개발 · 데이터 · 코드덤,[할인] 피지컬 컴퓨팅 아두이노로 만드는 5가지 프로젝트!,코드덤,"월 29,740원(5개월)","10개 챕터, 64개 세부강의",0.0,[]
31,Web · 프론트엔드 · 개발자 사관학교,"[할인] [웹 개발자 단과반 1교시] HTML, CSS, JS 프론트엔드 속성 실무!",개발자 사관학교,"월 27,740원(5개월)","7개 챕터, 33개 세부강의",4.5,"['흔하지는 않지만 허술하게 설명의 빈틈이 존재함 \n근데 그걸 매꾸려고 잘 안함 그냥 댓글로 무마시키는 느낌\n최신형태와는 다른것들이 존재하기때문에 별로임\n이런 강의는 최신버전이 나올때 업데이트가 되는게 가장 큰 장점인데\n그런거 없음 그냥 댓글로 이렇다 저렇다 이야기함\n결국 내가 찾아야 하기 때문에 시간을 아끼기 위해 이 강의를 듣는게 전혀 이득이 아님\n물론 어느정도 알기에 금방 찾아서 그 시간이 많이 들진 않았지만\n처음 이 강의를 듣는 사람입장에선 맨붕올거 같음\n분명 초보자를 위한 강의이고 그 눈 높이에 잘 맞추어져 있지만\n가끔 허술하게 빈 부분이 완전 처음하시는 분들 입장에서는 맨붕 올 수 있을것 같음\n', '제목 그대로 속성 강의로 숲을 볼수 있는 강의입니다. 항상 공부하면서 프로젝트 완성은 멀게만 느껴졌는데, 정말 필수적인 강의들로 프로젝트 완성까지 나올 수 있어서 보람있었던 것 같습니다. 다른 일반 강의에서는 경험할 수 없는 것이었으며, 정말 강추합니다.', '저는 실무를 했었던 사람이지만 기초부터 다시 탄탄하게 세우고 싶어서 강의를 듣게 되었는데요. 실무경험이 없었어도 괜찮았을만큼 세세하고 친절하게 알려주셔서 좋았습니다', '따라하기 쉽게 설명도 잘해주시고 피드백이 빨라서 좋아요,\n기초를 탄탄하게 배울 수 있는 클래스였던거 같습니다.']"
32,Web · 프론트엔드 · 푸른양귀비,풀스택 웹 개발로 배우는 확진자 지도 서비스 만들기,푸른양귀비,"월 29,800원(5개월)","9개 챕터, 32개 세부강의",0.0,[]
33,데이터 분석 · 데이터 스테이션,기업의 문제 해결을 위한 파이썬 비즈니스 데이터 분석과 통계,데이터 스테이션,"월 32,600원(5개월)","8개 챕터, 23개 세부강의",0.0,[]
34,데이터 분석 · 슬기로운통계생활,[할인] 직접 보고 느끼는 기초 통계 이론 완성,슬기로운통계생활,"월 25,800원(5개월)","8개 챕터, 35개 세부강의",0.0,[]
35, ,[0원 클래스] 30분 요약 강좌 시즌 2 : Python 활용편,제주코딩베이스캠프,"월 23,800원(5개월)",강의수미정,0.0,[]
36,프로그래밍 언어 · 연구소장,세상에서 제일 쉬운 파이썬 101,연구소장,0,"9개 챕터, 29개 세부강의",4.7,"['3줄 요약\n\n1. 이 강의는 ★진짜 초보자★를 위한 강의입니다.\n2. 챕터4는 되어야 파이썬 나옵니다.\n3. 기초를 좀 아시는 분은 딴거 들으세요.\n------------------------------------------------\n7개의 챕터 중에 파이썬은 4강부터 시작됩니다.\n그 전은 코딩에서 가장 중요한 ☆알고리즘☆을 가르칩니다.\n\n바로 파이썬 공부하고 싶으시면 다른 강의를 듣는것을 추천드립니다.\n\n+스크래치 만들다 후기 쓰는데, 재밌네요ㅎㅎ\n', '클래스 추천 받아서 수강했어요\n너무 친절하게 가르쳐 주셔서 만족스럽습니다\n코딩을 배우는 기초 마인드를 잘 성립할 수 있게 도와주는 강의 같아요\n선생님의 다른 강의가 생기면 그 강의도 들어보고 싶어요\n질 좋은 강의를 해주신 선생님께 너무 감사합니다!!\n', '따라갈 수 있게 차근차근 수업이 진행됩니다. 댓글을 통한 피드백이 매우 도움이 됩니다.', '정말 초보자도 잘따라올수있게 잘설명해주셧어요\n파이썬과 조금은 더 가까워진것 같아요']"
37,데이터베이스 · 김경수 컨설턴트,[할인] 비전공자도 쉽게 배워 바로 써먹는 실무 활용 SQL,김경수 컨설턴트,"월 21,583원(12개월)","11개 챕터, 73개 세부강의",0.0,[]
38,AI · 머신러닝 · 구해줘코린이,[할인] 구글 AI 인증 강사와 함께하는 AI 개발 입문 Full 패키지,구해줘코린이,"월 31,800원(5개월)","9개 챕터, 52개 세부강의",0.0,[]
39,더 새로운 개발 · 데이터 · 워드프레스 튜토리얼,예비/현직 웹 프로그래머를 위한 워드프레스 플러그인 개발!,워드프레스 튜토리얼,"월 29,800원(5개월)","7개 챕터, 40개 세부강의",0.0,[]
40,데이터 분석 · 데이터에반젤리스트,그림은 말보다 강하다! 문돌이도 쉽게 배우는 파이썬 데이터 시각화/EDA,데이터에반젤리스트,"월 32,600원(5개월)","7개 챕터, 22개 세부강의",0.0,[]
41,프로그래밍 언어 · 코딩하는거니,"[할인] 코딩하는거니의 문과 감성 실용 파이썬, 나의 첫 프로그래밍!",코딩하는거니,"월 27,740원(5개월)","7개 챕터, 34개 세부강의",4.8,"['솔직히 학원 다니고 할때는 그냥 기본 개론만 듣고 파이썬으로 내가 할 수 있는 것이 아무 것도 없었는데, 이 강의를 듣고는 좀 더 자신감이 생겨서 좋았습니다. ', '자세하고 간결한 설명이 좋아요. 어려운 내용을 쉽게 설명해서 듣기가 편안해요', '수업 후반부에 실제로 직접 어떻게 구글링을 통해 코딩을 짜는지 직접 보여주는 방식이 무척 유용했습니다. 그냥 강의 수업 노트를 읽는 것이 아니라 직접 생각하면서 응용하는 방법을 보여주니, 혼자 했을 때 어떻게 해야할 지 감이 잡히는 느낌이었어요. 수업도 너무 재밌어서 웃으면서 들었습니다.', '초보자가 듣기 적합했습니다. \n미리작성된 코드를 설명하는데 아닌 코드를 하나하나 설명해 주는 방법이 좋았습니다.']"
42,Web · 프론트엔드 · 짧굵배 딘프리,[할인] SNS 서비스 개발로 배우는 자바 웹 프로그래밍 입문!,짧굵배 딘프리,"월 21,800원(5개월)","8개 챕터, 35개 세부강의",0.0,[]
43,Web · 프론트엔드 · kidevelop,"React 로 웹 개발의 기초부터 프로덕션까지 :: To-Do, 메모앱 만들기",kidevelop,"월 32,600원(5개월)","10개 챕터, 34개 세부강의",0.0,[]
44,데이터 분석 · 데이터 스테이션,"실무 CRM, 유통 데이터로 배우는 파이썬 분석 프로젝트와 Pandas 데이터 전처리",데이터 스테이션,"월 32,600원(5개월)","8개 챕터, 29개 세부강의",0.0,[]
