,제목,가격,강사,URL,카테고리,리뷰
152,COS PRO 2급 기출문제 - Python,무료,두잉창의코딩,https://edu.goorm.io/lecture/17033/cos-pro-2급-기출문제-python,프로그래밍 - 프로그래밍 기초,['수업시간에 이걸로 공부하고 있는데 너무 좋습니다~!']
153,COS PRO 2급 기출문제 - Java,무료,두잉창의코딩,https://edu.goorm.io/lecture/17167/cos-pro-2급-기출문제-java,프로그래밍 - 프로그래밍 기초,['답을 맞게 작성해도 제출하면 오답이라고 나오네요...']
154,COS PRO 2급 기출문제 - C++,무료,두잉창의코딩,https://edu.goorm.io/lecture/17165/cos-pro-2급-기출문제-c,프로그래밍 - 프로그래밍 기초,['문제들이 간간히 정답을 제출해도 Fail이 뜬다.\n문제에 대한 재검토가 필요한듯 제공된 시스템에 대한 의구심이 든다.']
155,COS PRO 2급 기출문제 - C언어,무료,두잉창의코딩,https://edu.goorm.io/lecture/16921/cos-pro-2급-기출문제-c언어,프로그래밍 - 프로그래밍 기초,['훌륭하고 배울점이 많은 강좌였다']
156,[바로실습] 생활코딩 - JAVA 객체 지향 프로그래밍,무료,생활코딩,https://edu.goorm.io/lecture/16910/바로실습-생활코딩-java-객체-지향-프로그래밍,프로그래밍 - 프로그래밍 기초,['good']
157,"가장 핫한 FE 라이브러리🔥, React 가지고 놀아보기",무료,주현도,https://edu.goorm.io/lecture/16422/가장-핫한-fe-라이브러리-react-가지고-놀아보기,웹 프로그래밍 - 프로그래밍,['쉽게 따라할수 있어서 재밌어용~~\n']
158,영화 예매 사이트 만들기: 코딩편,무료,webstoryboy,https://edu.goorm.io/lecture/16943/영화-예매-사이트-만들기-코딩편,웹 프로그래밍 - 프로그래밍,['이번에도 유용한 강의였습니다!!']
159,영화 예매 사이트 만들기: 디자인편,무료,webstoryboy,https://edu.goorm.io/lecture/16948/영화-예매-사이트-만들기-디자인편,웹 프로그래밍 - 프로그래밍,['잘듣고 있습니다 꾸준히 해서 포트폴리오까지 완성하고싶어요 ㅎㅎ']
160,빅데이터 제대로 배우기 - R 기초 문법과 데이터 전처리,"₩50,000",아이티고,https://edu.goorm.io/lecture/17133/빅데이터-제대로-배우기-r-기초-문법과-데이터-전처리,프로그래밍 - 데이터 추출/분석,[]
161,센치한 개발자의 swift: ios app 만들기,무료,센치한개발자,https://edu.goorm.io/lecture/15173/센치한-개발자의-swift-ios-app-만들기,프로그래밍 - 모바일 프로그래밍,"['처음 스위프트 진행 중인데, 다른 강의들은 그냥 넘어가는 부분을 전부 짚고 넘어가서 편하게 듣고 있습니다.']"
162,[바로실습] 생활코딩 - JAVA method,무료,생활코딩,https://edu.goorm.io/lecture/16909/바로실습-생활코딩-java-method,프로그래밍 - 프로그래밍 기초,['좋아요!']
163,[바로실습] 생활코딩 - JAVA 제어문,무료,생활코딩,https://edu.goorm.io/lecture/16908/바로실습-생활코딩-java-제어문,프로그래밍 - 프로그래밍 기초,['쉬운설명과 간단한 예제로 인해서 이해가 더 빨리되요!\n감사합니다!']
164,[웹퍼블리싱 실습] 반응형 사이트 만들기,무료,webstoryboy,https://edu.goorm.io/lecture/16942/웹퍼블리싱-실습-반응형-사이트-만들기,웹 프로그래밍 - 프로그래밍,['항상 잘 배우고 있습니다 ']
165,[웹퍼블리싱 실습] 웹 표준 사이트 만들기,무료,webstoryboy,https://edu.goorm.io/lecture/16941/웹퍼블리싱-실습-웹-표준-사이트-만들기,웹 프로그래밍 - 프로그래밍,['짱입니다!^^\n']
166,김버그의 HTML은 재밌다 - 기초부터 실무 레벨까지,"₩50,000",김버그,https://edu.goorm.io/lecture/16396/김버그의-html은-재밌다-기초부터-실무-레벨까지,웹 프로그래밍 - 프로그래밍,['d']
167,시선을 사로잡는 웹 - 초급 + 중급,"₩158,000",DevelUP,https://edu.goorm.io/lecture/16783/시선을-사로잡는-웹-초급-중급,웹 프로그래밍 - 프로그래밍,['너무 유익한 강의인 것 같습니다.']
168,한 눈에 끝내는 HTML5/CSS3,"₩99,000",구름,https://edu.goorm.io/lecture/16322/한-눈에-끝내는-html5-css3,웹 프로그래밍 - 프로그래밍,['너무 친절하고 자세히 강의내용이 있으니까 이해하기도 쉽고 너무 좋습니다']
169,초보자를 위한 장고 Django 뿌시기🔥,"₩49,000",장 성원,https://edu.goorm.io/lecture/16377/초보자를-위한-장고-django-뿌시기,웹 프로그래밍 - 프로그래밍,['강의내용 좋고 설명도 쉽게 잘 풀어주시는데\n가격에 비해선 좀 부실한것 같습니다.\n']
170,Bootstrap을 활용한 반응형 웹페이지 만들기,"₩46,000",아이티고,https://edu.goorm.io/lecture/16303/bootstrap을-활용한-반응형-웹페이지-만들기,웹 프로그래밍 - 프로그래밍,[]
171,[바로실습] 생활코딩 - JAVA1,무료,생활코딩,https://edu.goorm.io/lecture/16448/바로실습-생활코딩-java1,프로그래밍 - 프로그래밍 기초,['개발자의 첫걸음은 이 강좌로 하는 게 제일 좋은 것 같아요.\n이클립스 꼬이고 path 지정 잘못하고 하는 걱정 없이\n온라인으로 바로 코드를 테스트 해 볼 수도 있어서 편해요.']
172,[스프링 시리즈1] Spring Framework5 입문자를 위한 실습 지침서,"₩22,000",소프트캠퍼스,https://edu.goorm.io/lecture/16406/스프링-시리즈1-spring-framework5-입문자를-위한-실습-지침서,웹 프로그래밍 - 프로그래밍,['죄송합니다. 개념에 대한 이해가 거의 가질 않습니다.\n혼자서 실습하시는듯 합니다 ㅠㅠ']
173,"2022 30분 요약 강좌 시즌 1 HTML, CSS, JS, Python, Bootstrap, Linux",무료,제주코딩베이스캠프,https://edu.goorm.io/lecture/16385/2022-30분-요약-강좌-시즌-1-html-css-js-python-bootstrap-linux,프로그래밍 - 프로그래밍 기초,['숨가뿌게 들으며 달려왔습니다~~\n좋은 강의 감사드려요~']
174,"React로 가기 위한 첫 걸음, Vanilla JS 기초","₩36,000",아이티고,https://edu.goorm.io/lecture/16304/react로-가기-위한-첫-걸음-vanilla-js-기초,웹 프로그래밍 - 프로그래밍,[]
175,하울의 안드로이드 인스타그램 앱 만들기,무료,하울의 코딩 채널,https://edu.goorm.io/lecture/16116/하울의-안드로이드-인스타그램-앱-만들기,프로그래밍 - 모바일 프로그래밍,['제가 인스타그램을 만들 수 있게 도와주었습니다. 다만 버전이 옛날버전인 그대로라 몇몇부분에서 혼자 해결해야만 했지만 이 부분은 제가 혼자 공부하게 도와줄 수 있게 만들어 더욱 실력을 성장할 수 있게 하였습니다. 즉각적인 피드백은 받을 수 없었지만 감사합니다.']
176,에센스만 담은 하울의 코틀린 안드로이드,"₩27,500",하울의 코딩 채널,https://edu.goorm.io/lecture/15335/에센스만-담은-하울의-코틀린-안드로이드,프로그래밍 - 모바일 프로그래밍,[]
177,코틀린으로 만드는 스프링부트,무료,최광성,https://edu.goorm.io/lecture/15881/코틀린으로-만드는-스프링부트,웹 프로그래밍 - 프로그래밍,['spring boot에 관심이 있었는데 멋있는 언어인 Kotlin으로 개발을 할 수 있게 되어서 너무 좋아여!']
178,현직개발자가 알려주는 안드로이드 앱 개발,무료,홍드로이드,https://edu.goorm.io/lecture/15564/현직개발자가-알려주는-안드로이드-앱-개발,프로그래밍 - 모바일 프로그래밍,['너무 좋다']
179,위클리 비타알고 시즌2 처음 시작하는 코딩테스트,"₩200,000",안홍자,https://edu.goorm.io/lecture/15551/위클리-비타알고-시즌2-처음-시작하는-코딩테스트,프로그래밍 - 알고리즘,['최적화된 코드들을 보고 배울 수 있어서 좋았습니다.']
180,웹 서비스 해킹을 위한 버프스위트 완벽 활용 가이드,무료,보안프로젝트,https://edu.goorm.io/lecture/15535/웹-서비스-해킹을-위한-버프스위트-완벽-활용-가이드,프로그래밍 - 보안,[]
181,Shiny 그리고 시각화 R Go! 하자!,무료,이수화,https://edu.goorm.io/lecture/15875/shiny-그리고-시각화-r-go-하자,프로그래밍 - 인공지능,['유익한 정보가 많아서 좋았습니다.']
182,파이썬을 이용한 데이터분석과 IT보안,"₩132,000",보안프로젝트,https://edu.goorm.io/lecture/15574/파이썬을-이용한-데이터분석과-it보안,프로그래밍 - 데이터 추출/분석,[]
183,생활코딩 - Oracle Database,무료,생활코딩,https://edu.goorm.io/lecture/15550/생활코딩-oracle-database,프로그래밍 - 데이터베이스,['이 정도 퀄리티의 강의가 무료라니! 잘 듣고 있습니다!']
184,데이터 시각화와 차트분석 기법,무료,노마드 크리에이터 Nomad Creator,https://edu.goorm.io/lecture/15563/데이터-시각화와-차트분석-기법,프로그래밍 - 데이터 추출/분석,['좋은강의네요\n']
185,웹 게임을 만들며 배우는 Vue,무료,조현영,https://edu.goorm.io/lecture/15523/웹-게임을-만들며-배우는-vue,웹 프로그래밍 - 프로그래밍,['강좌가 재밌어요']
186,파이썬 100분 핵심강의,"₩22,000",노마드 크리에이터 Nomad Creator,https://edu.goorm.io/lecture/15402/파이썬-100분-핵심강의,프로그래밍 - 프로그래밍 기초,[]
187,SwiftUI 개념 익히기,무료,Hohyeon Moon,https://edu.goorm.io/lecture/15378/swiftui-개념-익히기,프로그래밍 - 모바일 프로그래밍,[]
188,프리다(Frida)를 이용한 안드로이드 앱 모의해킹,"₩77,000",보안프로젝트,https://edu.goorm.io/lecture/15377/프리다-frida-를-이용한-안드로이드-앱-모의해킹,프로그래밍 - 보안,[]
189,누구나 쉽게 배우는 코딩 기초와 웹/앱 프로그래밍,무료,조코딩,https://edu.goorm.io/lecture/15287/누구나-쉽게-배우는-코딩-기초와-웹-앱-프로그래밍,프로그래밍 - 프로그래밍 기초,['재밌어요']
190,[디지털 포렌식 시리즈1] 디지털 포렌식 (Digital Forensic) 전문가 과정,"₩198,000",보안프로젝트,https://edu.goorm.io/lecture/15341/디지털-포렌식-시리즈1-디지털-포렌식-digital-forensic-전문가-과정,프로그래밍 - 보안,[]
191,[디지털 포렌식 시리즈5] 챌린지로 알아보는 디지털포렌식(심화),"₩99,000",보안프로젝트,https://edu.goorm.io/lecture/15261/디지털-포렌식-시리즈5-챌린지로-알아보는-디지털포렌식-심화,프로그래밍 - 보안,[]
192,[디지털 포렌식 시리즈4] 챌린지로 알아보는 디지털포렌식(기초),"₩99,000",보안프로젝트,https://edu.goorm.io/lecture/15260/디지털-포렌식-시리즈4-챌린지로-알아보는-디지털포렌식-기초,프로그래밍 - 보안,[]
193,내 손으로 한땀한땀 만드는 풀스택 인스타클론 강의,"₩110,000",제주코딩베이스캠프,https://edu.goorm.io/lecture/13869/내-손으로-한땀한땀-만드는-풀스택-인스타클론-강의,웹 프로그래밍 - 프로그래밍,['다른데서 장고 공부하고 와서 다시 보기 시작했는데 개념정리로 너무 좋습니다 추천드립니다!']
194,파이썬 스쿨 - 파이썬 프로그래밍을 이용한 업무 자동화,"₩121,000",보안프로젝트,https://edu.goorm.io/lecture/15257/파이썬-스쿨-파이썬-프로그래밍을-이용한-업무-자동화,프로그래밍 - 데이터 추출/분석,[]
195,센치한 개발자의 안드로이드 스튜디오 기초,무료,센치한개발자,https://edu.goorm.io/lecture/15171/센치한-개발자의-안드로이드-스튜디오-기초,프로그래밍 - 모바일 프로그래밍,['잘듣고있습니다!']
196,센치한 개발자의 자바 기초,무료,센치한개발자,https://edu.goorm.io/lecture/15170/센치한-개발자의-자바-기초,프로그래밍 - 프로그래밍 기초,['딱 제가 찾던 강의네요 ^^']
