,제목,가격,강사,URL,카테고리,리뷰
197,파이썬으로 만드는 라즈베리 파이 사물인터넷(IoT)프로젝트 - 기본편,"₩33,000",노마드 크리에이터 Nomad Creator,https://edu.goorm.io/lecture/15186/파이썬으로-만드는-라즈베리-파이-사물인터넷-iot-프로젝트-기본편,프로그래밍 - IoT,[]
198,파이썬을 이용한 IT 해킹과 보안,"₩110,000",보안프로젝트,https://edu.goorm.io/lecture/15149/파이썬을-이용한-it-해킹과-보안,프로그래밍 - 보안,[]
199,IT보안을 위한 와이어샤크 패킷 분석,무료,보안프로젝트,https://edu.goorm.io/lecture/15125/it보안을-위한-와이어샤크-패킷-분석,프로그래밍 - 보안,[]
200,해킹 대회를 위한 시스템 해킹 프로토스타 완벽 풀이집,"₩99,000",보안프로젝트,https://edu.goorm.io/lecture/15126/해킹-대회를-위한-시스템-해킹-프로토스타-완벽-풀이집,프로그래밍 - 보안,[]
201,2019 온라인 코딩 파티 시즌1 - 텍스트 코딩 용사가 되자!!!,무료,구름,https://edu.goorm.io/lecture/15047/2019-온라인-코딩-파티-시즌1-텍스트-코딩-용사가-되자,프로그래밍 - 프로그래밍 기초,['굿']
202,SVG 마스터,"₩27,500",1분코딩,https://edu.goorm.io/lecture/14971/svg-마스터,웹 프로그래밍 - 프로그래밍,[]
203,"부담 없이 쉽고 편하게, 자바스크립트 기초 정리!",무료,1분코딩,https://edu.goorm.io/lecture/14938/부담-없이-쉽고-편하게-자바스크립트-기초-정리,웹 프로그래밍 - 프로그래밍,['자바스크립트 배우면서 막막했는데 선생님 강의 듣고 많은 도움이 됐습니다! 기초를 다지기 너무 좋은 강의에요']
204,보안 전문가를 위한 파워쉘,"₩110,000",보안프로젝트,https://edu.goorm.io/lecture/14982/보안-전문가를-위한-파워쉘,프로그래밍 - 보안,[]
205,생활코딩 - WEB7: Login with Facebook On Passport(Facebook Login),무료,생활코딩,https://edu.goorm.io/lecture/14674/생활코딩-web7-login-with-facebook-on-passport-facebook-login,웹 프로그래밍 - 프로그래밍,[]
206,생활코딩 - WEB7: Login with Google On Passport (Google Login),무료,생활코딩,https://edu.goorm.io/lecture/14675/생활코딩-web7-login-with-google-on-passport-google-login,웹 프로그래밍 - 프로그래밍,[]
