,제목,가격,강사,평점,URL
19,누구나 블로그 개발 할 수 있다! React 기반 Gatsby로 기술 블로그 개발하기,무료,주현도,5.0,https://edu.goorm.io/lecture/25881/누구나-블로그-개발-할-수-있다-react-기반-gatsby로-기술-블로그-개발하기
20,실전! 웹사이트 제작 Step by Step - 호텔 라한 Application Course,"₩27,500",J.young,3.0,https://edu.goorm.io/lecture/26324/실전-웹사이트-제작-step-by-step-호텔-라한-application-course
21,딥러닝 네트워크의 연산,"₩39,000",Shin's Lab,0.0,https://edu.goorm.io/lecture/26039/딥러닝-네트워크의-연산
22,데이터 시각화를 위한 파이썬,"₩39,000",Shin's Lab,0.0,https://edu.goorm.io/lecture/24603/데이터-시각화를-위한-파이썬
23,딥러닝을 위한 파이썬 레벨2,"₩39,000",Shin's Lab,0.0,https://edu.goorm.io/lecture/26038/딥러닝을-위한-파이썬-레벨2
24,딥러닝을 위한 파이썬 레벨1,"₩35,100",Shin's Lab,0.0,https://edu.goorm.io/lecture/26037/딥러닝을-위한-파이썬-레벨1
25,모의해킹 취업 준비하는데 알아두면 좋은 것,무료,보안프로젝트,0.0,https://edu.goorm.io/lecture/25879/모의해킹-취업-준비하는데-알아두면-좋은-것
26,파이썬 개발자를 위한 go언어 기초,무료,행보칸코딩,4.5,https://edu.goorm.io/lecture/25552/파이썬-개발자를-위한-go언어-기초
27,[하루 10분|Web Project] HTML/JS/CSS로 나만의 MBTI 사이트 만들기,무료,판다코딩,4.9,https://edu.goorm.io/lecture/25652/하루-10분-web-project-html-js-css로-나만의-mbti-사이트-만들기
28,React & TypeScript & GraphQL 로 버그없이 빠르게 개발하기!,"₩25,000",Alucard,2.5,https://edu.goorm.io/lecture/25571/react-typescript-graphql-로-버그없이-빠르게-개발하기
29,파이썬으로 구현하는 CF 알고리즘,"₩35,100",최욱진,4.8,https://edu.goorm.io/lecture/25544/파이썬으로-구현하는-cf-알고리즘
30,[하루 10분|C++] 누구나 쉽게 배우는 C++ 프로그래밍 입문,무료,판다코딩,5.0,https://edu.goorm.io/lecture/25274/하루-10분-c-누구나-쉽게-배우는-c-프로그래밍-입문
31,[2021 개정] IT 웹 개발자 취준 백서,"₩10,000",컴공돌이,3.0,https://edu.goorm.io/lecture/25207/2021-개정-it-웹-개발자-취준-백서
32,"HAL, CubeMX, TrueSTUDIO를 이용한 STM32F4 따라하기 무료 강좌",무료,박원엽,0.0,https://edu.goorm.io/lecture/25454/hal-cubemx-truestudio를-이용한-stm32f4-따라하기-무료-강좌
33,작정하고 django! 핀터레스트 만들기,"₩77,000",박형석,5.0,https://edu.goorm.io/lecture/25441/작정하고-django-핀터레스트-만들기
34,CentOS 7 설치부터 웹서버 구축까지,무료,zzstudio-dev,5.0,https://edu.goorm.io/lecture/25119/centos-7-설치부터-웹서버-구축까지
35,문법책 졸업하자! 만들면서 복습하는 JavaScript,"₩49,000",강태공,5.0,https://edu.goorm.io/lecture/25046/문법책-졸업하자-만들면서-복습하는-javascript
36,"파이썬 웹 스크래핑, 제가 가진 모든 비법을 알려드리겠습니다.",무료,나도코딩,5.0,https://edu.goorm.io/lecture/24961/파이썬-웹-스크래핑-제가-가진-모든-비법을-알려드리겠습니다
37,코딩 입문 - 하다 보니 알게 되는 자바스크립트,무료,월리,5.0,https://edu.goorm.io/lecture/24963/코딩-입문-하다-보니-알게-되는-자바스크립트
38,2021 온라인 코딩 파티 시즌1 - 블록 코딩 용사가 되자!!!,무료,구름,4.7,https://edu.goorm.io/lecture/24788/2021-온라인-코딩-파티-시즌1-블록-코딩-용사가-되자
39,2021 온라인 코딩 파티 시즌1 - 텍스트 코딩 용사가 되자!!!,무료,구름,4.8,https://edu.goorm.io/lecture/24789/2021-온라인-코딩-파티-시즌1-텍스트-코딩-용사가-되자
40,2021 온라인 코딩 파티 시즌1 - 파이썬 데이터 분석 및 시각화!!!,무료,구름,5.0,https://edu.goorm.io/lecture/24790/2021-온라인-코딩-파티-시즌1-파이썬-데이터-분석-및-시각화
41,"2021 온라인 코딩 파티 시즌1 - 둘이서 코딩, 거북선과 척후선!!!",무료,구름,4.6,https://edu.goorm.io/lecture/24791/2021-온라인-코딩-파티-시즌1-둘이서-코딩-거북선과-척후선
42,2021 온라인 코딩 파티 시즌1 - 코딩랜드를 구하라!!!,무료,구름,5.0,https://edu.goorm.io/lecture/24792/2021-온라인-코딩-파티-시즌1-코딩랜드를-구하라
43,2021 온라인 코딩 파티 시즌1 - 도전 틱택토!!!,무료,구름,5.0,https://edu.goorm.io/lecture/24793/2021-온라인-코딩-파티-시즌1-도전-틱택토
44,[애플 공식 교재] 스위프트 퍼즐 2 - AD free,"₩11,000",코더스하이,0.0,https://edu.goorm.io/lecture/24597/애플-공식-교재-스위프트-퍼즐-2-ad-free
