,title,instructor,price,numoflectures,rating,review_writers,reviews,urls
11,책 저자가 직접 강의하는 파이썬을 이용한 텍스트 마이닝 ,서대호,"594,000원",총 6회 18시간,,['-'],['-'],https://taling.me/Talent/Detail/5012
12,할인이벤트 진행중~ [DB설계/SQL] 직접 떠먹여 주는 DB설계와 SQL쿼리 ~ 쉽게 배우세요 ,안성민,"462,000원",총 4회 12시간,5,"['Uno Lee', '익명', '이재원', 'Sungjun Han', 'Jeong Hyeon Woo']","['전문적인 지식을 열정적으로 잘 가르쳐 주셨습니다. 최고', '오늘이 세 번째 강의였습니다\n항상 약속시간보다 일찍 와계시고\n정말 1도 모르는 문외한인 학생에게\n맞춤형으로 자세히 알려주셔서 이젠 좀 알 것 같습니다\n\n회사에서 필요로하는 능력이라 따로 배우게됐는데\n너무나 생소했던 sql이었어요\n\n그런데\n\n처음에 개념잡기가 힘든데 잡을 수 있게 예시를 잘 들어주시고 직접해볼 수 있게 해주세요\n\n튜터님 정말 고맙습니다', '처음 배우는 사람도 알기 쉽게 설명해주시며 적절한 실습과 함께 응용하여 사용 가능한 실사용 쿼리들도 알려주시고 앞으로의 방향성에 대한 대책 또한 친절히 설명해주셔서 많은 도움이 되었습니다.', '경험이나 내공이 탁월하신것 같습니다~ 요청드린것 외에도 필요한 부분을 알아서 판단하셔서방향을 잘 잡아주셨습니다. 지속적으로 요청드리고 싶네요^^', '친절하고 이해하기 쉽게\n차근차근 데이터베이스에 대해서 설명해 주셨어요\n\n많이 배웠습니다. 감사합니다~!!']",https://taling.me/Talent/Detail/1771
13,귀찮은 노가다 파이썬에게 맡기자 +크롤링 +업무자동화,이정택,"330,000원",총 4회 12시간,5,"['천선영', '한지혜', '이명성']","['파이썬 처음접하는 입문자인데 첫주에 기본적인 코드만드는방식배우고 두번째 수업때부터 실생활에도 유용한 프로그래밍 실습하면서 재밌게배웠어요! 크롤링하는거 배워서 회사에서 일할때도 적용해보고 막히면 따로 쌤한테 톡해서 물어보고 도움많이되었습니다 :) 심화과정있다면 더 배워보고싶어요', '추천드립니다!!! 파이썬이 뭔지 몰랐던 제가 크롤링까지 할 수 있었어용!\n\n먼저 선생님이 좋아요! 친절하시고 꼼꼼하셔서 제가 궁금한 것들 다 물어봐도 항상 알아듣기 쉽게 답변해주셨어요 :)\n\n그리고 수업 커리큘럼이 체계적이예요. 매 주차마다 정해진 커리큘럼이 있는데 그걸 따라가다보면 크롤링은 할 수 있어요! 저는 비전공자라 진도가 느려서 커리큘럼을 4주차만에 끝내지 못했지만 저의 속도에 맞춰서 조절해주셔서 더 좋았어요!!\n\n이 수업은 비전공자분들이라면 1:1로 들어도 좋을것 같아요!', '올해 입사한 사회초년생입니다.\n자료조사와 단순 업무가 많아서 본 업무를 할 시간이 부족해서 일을 효율적으로 하는 방법을 찾아보다 강의를 수강하게 됐습니다.\n\n코딩에 대한 경험이 없었지만, 강의 커리큘럼과 강의 소개가 마음에 들어 수업을 들었는데 강사님께서 강의 경험이 많은 것 같다는 느낌을 받았고, 특히 강의 자료가 엄청 자세히 나와 있어서 수업을 이해하고 혼자서 복습하는 데 큰 도움이 됩니다!\n\n목소리도 좋으시고 강의 전달력이 좋으셔서 수업 만족도가 높고, 특히 웹 크롤러나 업무 자동화 프로그램을 많이 만들어보셔서 그런지 제가 필요한 프로그램에 대해 여쭤보았을 때에도 간단하게 하는 방법을 알려주셔서 매우 좋았습니다!\n\n아직 수강 중이지만 혹시 나중에 필요하면 다시 무료 재수강도 가능하다고 해주셔서 한결 마음이 더 편해졌습니다!\n\n친구한테도 꼭 추천해주고 싶은 강의입니다!']",https://taling.me/Talent/Detail/23704
14,자동화 프로그래밍을 위한 파이썬 알려드립니다,정위대,"100,000원",총 1회 2시간,,['-'],['-'],https://taling.me/Talent/Detail/25798
15,"[프로젝트 상담 가능]아두이노,라즈베리파이로 나만의 전자장치 만들기(비대면)",소재환,"528,000원",총 6회 12시간,5,['홍덕'],['친절하게 a부터 z까지 알려주십니다! 프로젝트 진행하면서 궁금한 부분들이 전부 해결됬어요. 감사합니다 튜터님'],https://taling.me/Talent/Detail/3561
16,"Python web framework, Django 코딩 기초 시작하기, 장고",Hyun-min Choi,"85,000원",총 1회 2시간,5,['오희묵'],['전문성을 갖추신 훌륭한 튜터이십니다.'],https://taling.me/Talent/Detail/12281
17,Unity3D(유니티3D) 기초부터 실무까지,Jung Ho Park,"385,000원",총 5회 10시간,5,"['허용석', '오창훈']","['내공이 상당하십니다!\n수강생 수준에 맞게 쉽고 잘 설명해주세요~\n유니티 입문자들에게도 강력 추천합니다~', '현재 수강중인 학생입니다.\n저는 인문학과를 나온 비전공자입니다. 선생님의 강의는 매우 구성이 좋고, 강의 스타일도 친절하게 잘 가르쳐주십니다.\n비유도 잘 들어주시고, 예시도 잘들어주십니다.\n\n실제 작동과정을 하나하나 설명해주십니다. 너무빠르게 진행하는것보다 좋은점은\n저처럼 유니티 초보자들은 유니티 구성메뉴들이 무슨기능을하고 어떨때 사용하는지 1도 모르는데\n\n아주 간단하고 친절하게 잘 가르쳐주십니다.\n앞으로도 쭉 들을 의향도 있고, 초보자부터 하셔도 좋고 그 이상도 좋을것 같습니다.\n\n직업을 이쪽으로 관심이 많은 사람들이 들으면 좋고, 또 취업준비생에게도 좋은 강의라고 생각합니다.\n\n수강할때느 여러분이 제작하고 싶은 게임 하나를 염두하고 강의에 몰입하시면 더 좋습니다.\n\n** 내가 기획한 게임의 프로토타입이나 기본적인 템플릿 버전을 만든다고 생각하시면 더 많은 것들을 단기간에 배울 수 있다고 생각합니다.\n\n**인터넷이나 시중에 나온 좋은 책들을 봐도 좋습니다. 그러나 때때로 질문을 바로바로 하고 싶거나\n글이나 사진보다 실제 작업을 통해 배우는게 더 알맞는 사람도 있을것이고 제가 그런유형입니다.\n\n** 초보자들은 아무래도 전혀 1도 모르다보니까. 질문도 뭘해야하는지 모르는경우가 많습니다. 그런부분도 차근차근 짚어주시고\n예상되는 문제점도 함께 고려해주시니 정말 만족도 굿굿이에요\n\n추천해요']",https://taling.me/Talent/Detail/22135
18,초보를 위한 파이썬 프로그래밍,Hobum Park,"220,000원",총 5회 10시간,5,['익명'],['코딩에 대해서 아무것도 모르고 시작했는데 강사분께서 처음부터 차근차근 가르쳐주셔서 도움이 많이 된 것 같아요ㅎㅎ\n그리고 코딩은 직접 해보면서 많이 는다고 들었는데 수업을 듣는 것 뿐만 아니라 매 수업시간마다 과제를 내주셔서 강사분께 과제에 대한 의문점을 보내면 하루 정도만에 바로바로 피드백을 보내주셨던 게 실력이 느는데 있어서 많이 도움이 된 것 같아요'],https://taling.me/Talent/Detail/4660
19,단! 하루만에 유니티로 게임 만들기!,김찬,"120,000원",총 1회 3시간,,['-'],['-'],https://taling.me/Talent/Detail/29641
20,나만의 IoT 무드등을 만들기(아두이노로 쉽게 배우는 코딩 입문),이상민,"297,000원",총 5회 15시간,,['-'],['-'],https://taling.me/Talent/Detail/11131
21,[HTML5 게임] 컨스트럭트3로 누구나 쉽게 모바일 게임 만들기 [초중급반],이대희,"181,500원",총 1회 5시간,,['-'],['-'],https://taling.me/Talent/Detail/3430
