,category,title,instructor,price,numoflectures,rating,review_writers,reviews,urls
21,웹개발,전 세계 유망 직업 1위) 프론트엔드 개발자를 꿈꾸는 사람들을 위한 맞춤형 원데이 클래스,김성훈,"66,000원",총 1회 3시간,5,['Juhyun Park'],['프로그래밍 쪽 수업은 처음 들어보기도 하고 용어가 너무 어려워보여서 미리 걱정을 많이 했었는데 튜터님께서 용어 하나하나가 어떻게 작용하는지에 대한 예시와 중간중간 잘 이해했는지 체크도 잘 해주셔서 쉽게 이해할 수 있었습니다. 특히 수업 마지막에 총 정리와 퀴즈로 오늘 가르쳐주신 내용을 점검해 주셔서 모호한 부분까지 정리가 잘 되었습니다. 첫 술에 배부를 순 없지만 첫 수업에 소소한 팁까지 알차게 잘 가르쳐 주셔서 너무 감사드립니다~다음 수업도 기대됩니다~^^'],https://taling.me/Talent/Detail/3141
22,웹개발,nodejs+express+mysql을 활용한 API서버,허지훈,"440,000원",총 4회 16시간,5,['성호'],"['즉흥적으로 물어보는 질문도 많았고, 백엔드 프론트와 연동에 관한 질문도 많았는데 최대한 반영해주려고 노력해 주시는 모습에 너무 감사했어요.\n준비한 커리까지만 딱 끝내고 가시는게 아니라, 약속한 시간이 지나도 하나라도 더 알려주시려고 하시는 것도 완전 감동...\n\n물론 백엔드가 어렵기는 했어요. 이걸 혼자 했다면, 얼마나 헤맸을까 싶네요.\n하지만 많이 배우려는 만큼 많이 얻어가실 수 있을거예요.\n\n앞으로도 알고 지내고 싶을 정도로 인성도 너무 훌륭한 분~ 수업 감사했습니다!']",https://taling.me/Talent/Detail/16225
23,웹개발,워드프레스 3시간 속성 마스터 - 원데이클래스,김명준,"115,500원",총 1회 3시간,5,['이상수'],['개인적으로 워드프레스 사용시 어려웠던 부분을 실제 제작을 같이하면서 쉽게 가르쳐 주셔서 매우 유익했어요.'],https://taling.me/Talent/Detail/20249
24,웹개발,자바 (Java) 입문자를 프로그래밍 교육! 고수의 코딩! 수강생 맞춤 강의!,김종권,"435,600원",총 6회 18시간,5,['박우신'],['처음 자바책을 보면 처음보는 외국어로 쓰인 원서를 보는 기분이 들었습니다. 하지만 이 강의를 듣고서 혼자서도 공부할 자신감이 생겼습니다. JAVA의 책들을 보면 처음 볼때는 개념이 어렵고 난해합니다. 이 수업은 이러한 내용들을 여러번 반복설명해주기 때문에 수월한 이해를 도와줍니다.'],https://taling.me/Talent/Detail/13123
25,웹개발,하루만에 끝내는 초스피드 나만의 웹만들기!(HTML/CSS/Jquery),변경원,"66,000원",총 1회 3시간,0,['-'],['-'],https://taling.me/Talent/Detail/8763
26,웹개발,[현개발자]현업개발자에게서 듣는 자바뽀개기!!,신동열,"396,000원",총 4회 12시간,5,"['Timothy Lee', '한연희']","['과제 위주로 처음 수업을 진행 하였는데 꼼꼼하게 한줄 한줄 확인해주셨고, 설명도 깔끔하게 해 주셔서 정말 쉽게 이해 되었습니다. 조만간 다시 수업 부탁드릴 예정입니다~~^^ 감사합니다', '합리적인 가격에 자바를 공부할 수 있었어요!! 생활코딩 강의 목차에 따라 공부하고 있었는데 혼자 학습하기에는 양도 많고 잘 이해가 안 될 때도 있어서 튜터님께 수업을 의뢰했는데 정말 후회하지 않을 선택이었습니다:) 이제껏 들었던 강의는 반복문이나 조건문만 반복하고 심화 내용을 학습하지 못 해 수박 겉핥기 식으로 배웠다는 느낌이 있었는데 수업을 듣고 나니 객체지향 과 같은 뒷부분 까지 전체적으로 학습했다는 생각이 들어 알차고 실전적인 수업을 받았다는 걸 다시금 깨닫게 되네요:) 정말 감사합니다:)']",https://taling.me/Talent/Detail/1132
27,웹개발,워드프레스 부디 공부하지 말고 그냥 쓰세요 !~,Sangok  Kim,"132,000원",총 3회 6시간,5,"['유인애', '박다래', '신유희']","['궁금한것들 미리 리스트업해갔는데, 여러 꿀팁이랑 쏙쏙 핵심들로 잘 알려주셨어요 !\n제가 일정상 3시간 2회로 요청드렸는데, 긴 수업시간에도 끝까지 하나라도 더 알려주시려고 더 보여주시고 넘 감사했습니다 ㅠㅠ\n쌤 덕분에 워드프레스를 알아갑니다 복습열심히할게요 감사합니다~~', '워드프레스 1도 모르는 초짜였는데 친절히 가르쳐주시고 너무 감사했습니다.', '수업받은지는 좀 되었는데, 뒤늦게 리뷰를 쓰게 되었어요.\n워드프레스가 뭔지는 잘 모르지만 일단 배워보자 해서 시작했는데, 거의 컴맹이라 강사님이 좀 힘드셨을 듯 해요^^\n그래도 친절하게 잘 가르쳐주셔서 감사합니다. 한번 두번 정도로는 수업이 끝나자마자 잊어버려서, 세번 정도 수업받으니까\n확실히 알겠더라구요. 앞으로 워드프레스로 블로그도 만들고, 웹사이트도 만들어서 저도 디노의 대열에 합류할까 합니다^^\n감사했습니다~']",https://taling.me/Talent/Detail/10372
28,웹개발,맨땅 비전공자도 가능한 웹 프로그래밍 개발강의 ( A to Z ),김기현,"165,000원",총 2회 6시간,0,['-'],['-'],https://taling.me/Talent/Detail/12806
29,웹개발,HTML/CSS 로 제대로 알고 만들자,Bok Gyun Mun,"264,000원",총 8회 16시간,0,['-'],['-'],https://taling.me/Talent/Detail/2516
30,웹개발,HTML-CSS-Bootstrap-입문! 나만의 이력서만들기!,Se-Hong  Park,"330,000원",총 4회 12시간,0,['-'],['-'],https://taling.me/Talent/Detail/728
